countriesAndTerritories,Medicos por 10000 habitantes 2019,Medicos por 10000 habitantes 2020,day,month,year,cases,deaths,continentExp
Afghanistan,2.125,2.538,20,1,2020,0,0,Asia
Afghanistan,2.125,2.538,19,1,2020,0,0,Asia
Afghanistan,2.125,2.538,18,1,2020,0,0,Asia
Afghanistan,2.125,2.538,17,1,2020,0,0,Asia
Afghanistan,2.125,2.538,16,1,2020,0,0,Asia
Afghanistan,2.125,2.538,15,1,2020,0,0,Asia
Afghanistan,2.125,2.538,14,1,2020,0,0,Asia
Afghanistan,2.125,2.538,13,1,2020,0,0,Asia
Afghanistan,2.125,2.538,12,1,2020,0,0,Asia
Afghanistan,2.125,2.538,11,1,2020,0,0,Asia
Afghanistan,2.125,2.538,10,1,2020,0,0,Asia
Afghanistan,2.125,2.538,9,1,2020,0,0,Asia
Afghanistan,2.125,2.538,8,1,2020,0,0,Asia
Afghanistan,2.125,2.538,7,1,2020,0,0,Asia
Afghanistan,2.125,2.538,6,1,2020,0,0,Asia
Afghanistan,2.125,2.538,5,1,2020,0,0,Asia
Afghanistan,2.125,2.538,4,1,2020,0,0,Asia
Afghanistan,2.125,2.538,3,1,2020,0,0,Asia
Afghanistan,2.125,2.538,2,1,2020,0,0,Asia
Afghanistan,2.125,2.538,1,1,2020,0,0,Asia
Afghanistan,2.125,2.538,31,12,2019,0,0,Asia
Albania,16.471,18.754,14,12,2020,788,14,Europe
Albania,16.471,18.754,13,12,2020,879,12,Europe
Albania,16.471,18.754,12,12,2020,802,12,Europe
Albania,16.471,18.754,11,12,2020,873,14,Europe
Albania,16.471,18.754,10,12,2020,752,15,Europe
Albania,16.471,18.754,9,12,2020,753,14,Europe
Albania,16.471,18.754,8,12,2020,695,17,Europe
Albania,16.471,18.754,7,12,2020,840,16,Europe
Albania,16.471,18.754,6,12,2020,846,19,Europe
Albania,16.471,18.754,5,12,2020,801,18,Europe
Albania,16.471,18.754,4,12,2020,782,13,Europe
Albania,16.471,18.754,3,12,2020,705,17,Europe
Albania,16.471,18.754,2,12,2020,832,12,Europe
Albania,16.471,18.754,1,12,2020,557,12,Europe
Albania,16.471,18.754,30,11,2020,835,11,Europe
