Fecha,FT-06017,TT-06017,TIT-06022,PT-06020A,PT-06021,PY-06020A,PDIT-06022A,EZY-06014,EZY-06004,Estado
11/16/2021 19:00,9900.742188,105.4743958,102.1023407,1040.187378,59.96961212,40.57024002,3.836278915,100,100,ON
11/16/2021 20:00,9514.027344,105.5273972,102.0146713,1040.140503,52.36921692,40.57024002,3.725335121,100,100,ON
11/16/2021 21:00,9897.404297,105.536232,102.1288452,1040.212891,70.6478653,40.57659912,3.894224167,100,100,ON
11/16/2021 22:00,9866.962891,105.6157227,102.1917419,1039.827148,66.62782288,40.57659912,3.767026901,100,100,ON
11/16/2021 23:00,10017.21484,105.7084732,102.2595825,1039.74353,69.57218933,40.57659912,3.831332207,100,100,ON
11/17/2021 0:00,9893.770508,105.7968063,102.3900986,1044.562988,72.28101349,40.57659912,3.731694221,100,100,ON
11/17/2021 1:00,9970.886719,106.0927124,102.4991074,1074.832642,77.68295288,40.53342819,3.804479599,100,100,ON
11/17/2021 2:00,9860.729492,106.317955,102.7423782,1089.848999,61.37506104,39.82958221,3.700602531,100,100,ON
11/17/2021 3:00,9694.902344,106.6006165,103.0361252,1095.382202,66.4629364,39.82604218,3.699895859,100,100,ON
11/17/2021 4:00,9658.22168,106.7993622,103.0973969,1099.553223,55.50202179,39.79998016,3.697775841,100,100,ON
11/17/2021 5:00,9807.479492,106.8832779,103.2463379,1099.816162,64.94756317,40.3248558,3.652549744,100,100,ON
11/17/2021 6:00,10003.65039,107.0849762,103.3726654,1099.323853,70.82060242,40.3248558,3.64618969,100,100,ON
11/17/2021 7:00,9927.606445,107.2660522,103.4561615,1100.23999,61.94038391,40.3248558,3.564218521,100,100,ON
11/17/2021 8:00,9899.219727,107.3632126,103.5360565,1099.50647,60.9353714,40.3248558,3.494967461,100,100,ON
11/17/2021 9:00,9909.731445,107.4382935,103.6154785,1099.919067,60.18161011,40.3248558,3.497794151,100,100,ON
11/17/2021 10:00,9876.287109,107.5619583,103.7831573,1099.919067,53.75895691,40.3248558,3.457514763,100,100,ON
11/17/2021 11:00,3109.126465,108.7882843,104.1517792,1279.980713,46.69246674,31.85069847,2.108521461,100,100,ON
11/17/2021 12:00,3484.200195,108.8633652,104.2722931,1299.97998,47.39126587,33.71791077,2.328996658,100,100,ON
11/17/2021 13:00,3785.082031,108.7485352,103.8852539,1299.97998,47.39126587,35.25114441,2.583390236,100,100,ON
